'sample interval','II'
'0.002 sec','mV'
0,0.645
1,0.640
2,0.625
3,0.625
4,0.630
5,0.660
6,0.615
7,0.615
8,0.580
9,0.585
10,0.565
11,0.525
12,0.535
13,0.570
14,0.540
15,0.535
16,0.495
17,0.470
18,0.430
19,0.430
20,0.450
21,0.460
22,0.430
23,0.420
24,0.415
25,0.375
26,0.350
27,0.305
28,0.295
29,0.290
30,0.310
31,0.260
32,0.250
33,0.305
34,0.330
35,0.415
36,0.450
37,0.510
38,0.540
39,0.555
40,0.560
41,0.545
42,0.505
43,0.515
44,0.520
45,0.550
46,0.540
47,0.560
48,0.565
49,0.530
50,0.480
51,0.465
52,0.430
53,0.475
54,0.475
55,0.465
56,0.465
57,0.455
58,0.395
59,0.360
60,0.330
61,0.335
62,0.300
63,0.265
64,0.225
65,0.205
66,0.125
67,0.100
68,0.070
69,0.045
70,0.005
71,0.020
72,-0.015
73,-0.050
74,-0.065
75,-0.120
76,-0.190
77,-0.170
78,-0.190
79,-0.165
80,-0.145
81,-0.150
82,-0.140
83,-0.180
84,-0.220
85,-0.175
86,-0.190
87,-0.165
88,-0.135
89,-0.145
90,-0.140
91,-0.170
92,-0.180
93,-0.190
94,-0.180
95,-0.165
96,-0.160
97,-0.130
98,-0.130
99,-0.180
100,-0.155
101,-0.210
102,-0.195
103,-0.175
104,-0.175
105,-0.140
106,-0.125
107,-0.140
108,-0.170
109,-0.220
110,-0.170
111,-0.170
112,-0.155
113,-0.130
114,-0.165
115,-0.140
116,-0.170
117,-0.180
118,-0.175
119,-0.185
120,-0.150
121,-0.125
122,-0.150
123,-0.145
124,-0.155
125,-0.180
126,-0.210
127,-0.195
128,-0.160
129,-0.150
130,-0.130
131,-0.125
132,-0.165
133,-0.140
134,-0.175
135,-0.170
136,-0.155
137,-0.160
138,-0.160
139,-0.145
140,-0.130
141,-0.180
142,-0.170
143,-0.190
144,-0.180
145,-0.170
146,-0.140
147,-0.135
148,-0.140
149,-0.145
150,-0.160
151,-0.170
152,-0.175
153,-0.170
154,-0.135
155,-0.145
156,-0.125
157,-0.135
158,-0.155
159,-0.185
160,-0.160
161,-0.170
162,-0.165
163,-0.160
164,-0.145
165,-0.125
166,-0.170
167,-0.175
168,-0.180
169,-0.155
170,-0.155
171,-0.150
172,-0.140
173,-0.125
174,-0.145
175,-0.155
176,-0.185
177,-0.165
178,-0.155
179,-0.160
180,-0.150
181,-0.125
182,-0.145
183,-0.145
184,-0.220
185,-0.175
186,-0.170
187,-0.160
188,-0.140
189,-0.130
190,-0.135
191,-0.150
192,-0.170
193,-0.170
194,-0.140
195,-0.140
196,-0.125
197,-0.135
198,-0.120
199,-0.160
200,-0.155
201,-0.185
202,-0.175
203,-0.175
204,-0.145
205,-0.130
206,-0.110
207,-0.160
208,-0.160
209,-0.165
210,-0.165
211,-0.175
212,-0.155
213,-0.130
214,-0.125
215,-0.120
216,-0.165
217,-0.165
218,-0.165
219,-0.155
220,-0.160
221,-0.120
222,-0.130
223,-0.135
224,-0.145
225,-0.150
226,-0.180
227,-0.155
228,-0.185
229,-0.140
230,-0.140
231,-0.090
232,-0.135
233,-0.165
234,-0.165
235,-0.155
236,-0.160
237,-0.140
238,-0.130
239,-0.110
240,-0.150
241,-0.155
242,-0.180
243,-0.190
244,-0.150
245,-0.150
246,-0.115
247,-0.100
248,-0.130
249,-0.145
250,-0.170
251,-0.175
252,-0.175
253,-0.155
254,-0.125
255,-0.125
256,-0.135
257,-0.110
258,-0.130
259,-0.180
260,-0.180
261,-0.145
262,-0.125
263,-0.145
264,-0.145
265,-0.135
266,-0.145
267,-0.185
268,-0.170
269,-0.155
270,-0.130
271,-0.125
272,-0.115
273,-0.120
274,-0.115
275,-0.150
276,-0.145
277,-0.160
278,-0.165
279,-0.140
280,-0.130
281,-0.120
282,-0.165
283,-0.155
284,-0.155
285,-0.150
286,-0.145
287,-0.140
288,-0.145
289,-0.135
290,-0.130
291,-0.130
292,-0.155
293,-0.180
294,-0.135
295,-0.170
296,-0.110
297,-0.095
298,-0.145
299,-0.120
300,-0.160
301,-0.180
302,-0.170
303,-0.170
304,-0.155
305,-0.125
306,-0.130
307,-0.110
308,-0.150
309,-0.175
310,-0.155
311,-0.140
312,-0.095
313,-0.050
314,-0.015
315,0.000
316,-0.005
317,0.035
318,0.025
319,0.090
320,0.110
321,0.160
322,0.180
323,0.175
324,0.175
325,0.155
326,0.135
327,0.140
328,0.155
329,0.155
330,0.165
331,0.180
332,0.170
333,0.125
334,0.105
335,0.075
336,0.080
337,0.075
338,0.055
339,0.040
340,0.005
341,-0.040
342,-0.110
343,-0.115
344,-0.130
345,-0.145
346,-0.115
347,-0.135
348,-0.135
349,-0.135
350,-0.135
351,-0.165
352,-0.160
353,-0.145
354,-0.130
355,-0.120
356,-0.140
357,-0.135
358,-0.115
359,-0.185
360,-0.160
361,-0.185
362,-0.135
363,-0.125
364,-0.135
365,-0.125
366,-0.145
367,-0.155
368,-0.180
369,-0.175
370,-0.150
371,-0.120
372,-0.115
373,-0.100
374,-0.160
375,-0.140
376,-0.170
377,-0.160
378,-0.145
379,-0.130
380,-0.125
381,-0.130
382,-0.120
383,-0.145
384,-0.160
385,-0.175
386,-0.135
387,-0.135
388,-0.115
389,-0.130
390,-0.145
391,-0.150
392,-0.215
393,-0.250
394,-0.275
395,-0.290
396,-0.285
397,-0.210
398,-0.120
399,0.050
400,0.215
401,0.395
402,0.620
403,0.930
404,1.210
405,1.420
406,1.660
407,1.825
408,1.790
409,1.640
410,1.435
411,1.255
412,1.010
413,0.985
414,0.990
415,0.985
416,0.975
417,0.995
418,0.985
419,0.975
420,0.995
421,1.005
422,1.010
423,1.030
424,1.010
425,1.010
426,0.975
427,0.975
428,0.990
429,0.995
430,1.020
431,0.995
432,1.025
433,1.015
434,0.970
435,0.970
436,0.960
437,0.985
438,0.985
439,0.960
440,0.985
441,0.965
442,0.945
443,0.905
444,0.940
445,0.930
446,0.970
447,0.950
448,0.965
449,0.945
450,0.900
451,0.870
452,0.865
453,0.865
454,0.905
455,0.925
456,0.930
457,0.885
458,0.915
459,0.855
460,0.850
461,0.840
462,0.840
463,0.850
464,0.860
465,0.860
466,0.825
467,0.780
468,0.780
469,0.790
470,0.800
471,0.820
472,0.765
473,0.830
474,0.765
475,0.750
476,0.705
477,0.700
478,0.740
479,0.730
480,0.715
481,0.720
482,0.685
483,0.680
484,0.635
485,0.655
486,0.625
487,0.650
488,0.645
